Kuukausi,Polttoneste,Hinta
1992-11-01,"Kevyt polttoöljy, snt/l",25.4
1992-11-01,"Kevyt polttoöljy, eur/MWh",25.5
1992-12-01,"Moottoribensiini 95 E 10, snt/l",78.4
1992-12-01,"Dieselöljy, snt/l",51.3
1992-12-01,"Kevyt polttoöljy, snt/l",24.9
1992-12-01,"Kevyt polttoöljy, eur/MWh",25.0
1993-01-01,"Moottoribensiini 95 E 10, snt/l",77.2
1993-01-01,"Dieselöljy, snt/l",53.5
1993-01-01,"Kevyt polttoöljy, snt/l",26.7
1993-01-01,"Kevyt polttoöljy, eur/MWh",26.9
1993-02-01,"Moottoribensiini 95 E 10, snt/l",78.9
1993-02-01,"Dieselöljy, snt/l",54.3
1993-02-01,"Kevyt polttoöljy, snt/l",28.1
1993-02-01,"Kevyt polttoöljy, eur/MWh",28.2
1993-03-01,"Moottoribensiini 95 E 10, snt/l",80.7
1993-03-01,"Dieselöljy, snt/l",54.5
1993-03-01,"Kevyt polttoöljy, snt/l",28.9
1993-03-01,"Kevyt polttoöljy, eur/MWh",29.1
1993-04-01,"Moottoribensiini 95 E 10, snt/l",81.6
1993-04-01,"Dieselöljy, snt/l",54.2
1993-04-01,"Kevyt polttoöljy, snt/l",27.8
1993-04-01,"Kevyt polttoöljy, eur/MWh",27.9
1993-05-01,"Moottoribensiini 95 E 10, snt/l",80.4
1993-05-01,"Dieselöljy, snt/l",53.3
1993-05-01,"Kevyt polttoöljy, snt/l",26.9
1993-05-01,"Kevyt polttoöljy, eur/MWh",27.0
1993-06-01,"Moottoribensiini 95 E 10, snt/l",78.7
1993-06-01,"Dieselöljy, snt/l",51.8
1993-06-01,"Kevyt polttoöljy, snt/l",26.6
1993-06-01,"Kevyt polttoöljy, eur/MWh",26.7
1993-07-01,"Moottoribensiini 95 E 10, snt/l",77.7
1993-07-01,"Dieselöljy, snt/l",51.8
1993-07-01,"Kevyt polttoöljy, snt/l",27.1
1993-07-01,"Kevyt polttoöljy, eur/MWh",27.2
1993-08-01,"Moottoribensiini 95 E 10, snt/l",76.9
1993-08-01,"Dieselöljy, snt/l",51.1
1993-08-01,"Kevyt polttoöljy, snt/l",27.3
1993-08-01,"Kevyt polttoöljy, eur/MWh",27.4
1993-09-01,"Moottoribensiini 95 E 10, snt/l",75.7
1993-09-01,"Dieselöljy, snt/l",50.5
1993-09-01,"Kevyt polttoöljy, snt/l",27.4
1993-09-01,"Kevyt polttoöljy, eur/MWh",27.5
1993-10-01,"Moottoribensiini 95 E 10, snt/l",76.7
1993-10-01,"Dieselöljy, snt/l",52.1
1993-10-01,"Kevyt polttoöljy, snt/l",27.9
1993-10-01,"Kevyt polttoöljy, eur/MWh",28.0
1993-11-01,"Moottoribensiini 95 E 10, snt/l",74.7
1993-11-01,"Dieselöljy, snt/l",52.6
1993-11-01,"Kevyt polttoöljy, snt/l",28.4
1993-11-01,"Kevyt polttoöljy, eur/MWh",28.6
1993-12-01,"Moottoribensiini 95 E 10, snt/l",73.5
1993-12-01,"Dieselöljy, snt/l",52.1
1993-12-01,"Kevyt polttoöljy, snt/l",26.4
1993-12-01,"Kevyt polttoöljy, eur/MWh",26.5
1994-01-01,"Moottoribensiini 95 E 10, snt/l",73.2
1994-01-01,"Dieselöljy, snt/l",52.3
1994-01-01,"Kevyt polttoöljy, snt/l",27.3
1994-01-01,"Kevyt polttoöljy, eur/MWh",27.4
1994-02-01,"Moottoribensiini 95 E 10, snt/l",72.7
1994-02-01,"Dieselöljy, snt/l",51.6
1994-02-01,"Kevyt polttoöljy, snt/l",26.2
1994-02-01,"Kevyt polttoöljy, eur/MWh",26.4
1994-03-01,"Moottoribensiini 95 E 10, snt/l",74.0
1994-03-01,"Dieselöljy, snt/l",52.1
1994-03-01,"Kevyt polttoöljy, snt/l",25.6
1994-03-01,"Kevyt polttoöljy, eur/MWh",25.7
1994-04-01,"Moottoribensiini 95 E 10, snt/l",75.5
1994-04-01,"Dieselöljy, snt/l",51.8
1994-04-01,"Kevyt polttoöljy, snt/l",25.6
1994-04-01,"Kevyt polttoöljy, eur/MWh",25.7
1994-05-01,"Moottoribensiini 95 E 10, snt/l",74.7
1994-05-01,"Dieselöljy, snt/l",50.8
1994-05-01,"Kevyt polttoöljy, snt/l",25.6
1994-05-01,"Kevyt polttoöljy, eur/MWh",25.7
1994-06-01,"Moottoribensiini 95 E 10, snt/l",75.9
1994-06-01,"Dieselöljy, snt/l",61.1
1994-06-01,"Kevyt polttoöljy, snt/l",25.4
1994-06-01,"Kevyt polttoöljy, eur/MWh",25.5
1994-07-01,"Moottoribensiini 95 E 10, snt/l",76.5
1994-07-01,"Dieselöljy, snt/l",60.9
1994-07-01,"Kevyt polttoöljy, snt/l",25.7
1994-07-01,"Kevyt polttoöljy, eur/MWh",25.8
1994-08-01,"Moottoribensiini 95 E 10, snt/l",79.1
1994-08-01,"Dieselöljy, snt/l",60.9
1994-08-01,"Kevyt polttoöljy, snt/l",25.2
1994-08-01,"Kevyt polttoöljy, eur/MWh",25.3
1994-09-01,"Moottoribensiini 95 E 10, snt/l",78.2
1994-09-01,"Dieselöljy, snt/l",60.4
1994-09-01,"Kevyt polttoöljy, snt/l",24.6
1994-09-01,"Kevyt polttoöljy, eur/MWh",24.7
1994-10-01,"Moottoribensiini 95 E 10, snt/l",77.4
1994-10-01,"Dieselöljy, snt/l",60.0
1994-10-01,"Kevyt polttoöljy, snt/l",24.2
1994-10-01,"Kevyt polttoöljy, eur/MWh",24.3
1994-11-01,"Moottoribensiini 95 E 10, snt/l",77.9
1994-11-01,"Dieselöljy, snt/l",60.2
1994-11-01,"Kevyt polttoöljy, snt/l",23.2
1994-11-01,"Kevyt polttoöljy, eur/MWh",23.3
1994-12-01,"Moottoribensiini 95 E 10, snt/l",76.0
1994-12-01,"Dieselöljy, snt/l",59.9
1994-12-01,"Kevyt polttoöljy, snt/l",23.0
1994-12-01,"Kevyt polttoöljy, eur/MWh",23.1
1995-01-01,"Moottoribensiini 95 E 10, snt/l",84.1
1995-01-01,"Dieselöljy, snt/l",62.9
1995-01-01,"Kevyt polttoöljy, snt/l",24.7
1995-01-01,"Kevyt polttoöljy, eur/MWh",24.8
1995-02-01,"Moottoribensiini 95 E 10, snt/l",83.6
1995-02-01,"Dieselöljy, snt/l",62.1
1995-02-01,"Kevyt polttoöljy, snt/l",25.1
1995-02-01,"Kevyt polttoöljy, eur/MWh",25.2
1995-03-01,"Moottoribensiini 95 E 10, snt/l",83.3
1995-03-01,"Dieselöljy, snt/l",61.2
1995-03-01,"Kevyt polttoöljy, snt/l",24.4
1995-03-01,"Kevyt polttoöljy, eur/MWh",24.5
1995-04-01,"Moottoribensiini 95 E 10, snt/l",81.4
