"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1992M01","Kevyt polttoöljy, eur/MWh",21.8,-12.8
"1992M02","Moottoribensiini 95 E 10, snt/l",74.7,2.5
"1992M02","Dieselöljy, snt/l",51.6,-4.4
"1992M02","Kevyt polttoöljy, snt/l",21.7,-4.4
"1992M02","Kevyt polttoöljy, eur/MWh",21.8,-4.4
"1992M03","Moottoribensiini 95 E 10, snt/l",73.3,-2.0
"1992M03","Dieselöljy, snt/l",50.1,-1.6
"1992M03","Kevyt polttoöljy, snt/l",21.0,5.9
"1992M03","Kevyt polttoöljy, eur/MWh",21.1,6.0
"1992M04","Moottoribensiini 95 E 10, snt/l",74.3,0.0
"1992M04","Dieselöljy, snt/l",49.8,0.7
"1992M04","Kevyt polttoöljy, snt/l",21.9,10.1
"1992M04","Kevyt polttoöljy, eur/MWh",22.0,10.6
"1992M05","Moottoribensiini 95 E 10, snt/l",75.9,0.9
"1992M05","Dieselöljy, snt/l",50.3,0.7
"1992M05","Kevyt polttoöljy, snt/l",22.9,10.5
"1992M05","Kevyt polttoöljy, eur/MWh",23.0,10.6
"1992M06","Moottoribensiini 95 E 10, snt/l",79.2,5.1
"1992M06","Dieselöljy, snt/l",49.5,-1.3
"1992M06","Kevyt polttoöljy, snt/l",22.5,8.1
"1992M06","Kevyt polttoöljy, eur/MWh",22.6,7.6
"1992M07","Moottoribensiini 95 E 10, snt/l",77.9,4.5
"1992M07","Dieselöljy, snt/l",48.3,-5.6
"1992M07","Kevyt polttoöljy, snt/l",22.0,0.0
"1992M07","Kevyt polttoöljy, eur/MWh",22.1,0.0
"1992M08","Moottoribensiini 95 E 10, snt/l",76.5,3.2
"1992M08","Dieselöljy, snt/l",47.3,-8.2
"1992M08","Kevyt polttoöljy, snt/l",21.4,-3.8
"1992M08","Kevyt polttoöljy, eur/MWh",21.5,-3.6
"1992M09","Moottoribensiini 95 E 10, snt/l",78.2,5.7
"1992M09","Dieselöljy, snt/l",50.1,-2.9
